Labeling Type,Dosage Form(s),Route(s) of Administration,Marketing Category,Application Number(s),Trade Name,Generic/Proper Name(s),Most Recent SPL Date (YYYY/MM/DD),Established Pharmacologic Class(es),Initial U.S. Approval,Company,Marketing Date(s) (YYYY/MM/DD),NDC(s),Active Ingredient UNII(s),Active Ingredient(s),Active Moiety Name(s),Active Moiety UNII(s),FDALabel Link,DailyMed Link,DailyMed PDF Link,SET ID
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, DELAYED RELEASE",ORAL,ANDA,77863,Diclofenac Sodium,DICLOFENAC SODIUM,20170522,Nonsteroidal Anti-inflammatory Drug,,BRYANT RANCH PREPACK,2008/08/19-,63629-6843,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/50c913a2-64a5-409c-99b9-375f01585deb/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=50c913a2-64a5-409c-99b9-375f01585deb,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=50c913a2-64a5-409c-99b9-375f01585deb,50c913a2-64a5-409c-99b9-375f01585deb
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, DELAYED RELEASE",ORAL,ANDA,74514,Diclofenac Sodium,DICLOFENAC SODIUM,20170521,Nonsteroidal Anti-inflammatory Drug,,BRYANT RANCH PREPACK,1996/03/26-,63629-6947,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/b0bdc463-7038-4ca1-9da1-af0b4c004183/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b0bdc463-7038-4ca1-9da1-af0b4c004183,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=b0bdc463-7038-4ca1-9da1-af0b4c004183,b0bdc463-7038-4ca1-9da1-af0b4c004183
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, DELAYED RELEASE",ORAL,ANDA,77863,Diclofenac Sodium,DICLOFENAC SODIUM,20170307,Nonsteroidal Anti-inflammatory Drug,,UNIT DOSE SERVICES,2008/08/19-,50436-6924,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/f0e00d55-02b7-4642-a60e-6a5841932ca5/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f0e00d55-02b7-4642-a60e-6a5841932ca5,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f0e00d55-02b7-4642-a60e-6a5841932ca5,f0e00d55-02b7-4642-a60e-6a5841932ca5
HUMAN PRESCRIPTION DRUG LABEL,GEL,TOPICAL,ANDA,206298,Diclofenac sodium,DICLOFENAC SODIUM,20170214,Nonsteroidal Anti-inflammatory Drug,,IPG PHARMACEUTICALS INC,2016/04/28-,71085-003,QTG126297Q,diclofenac sodium,diclofenac,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c73b0fd0-50b9-4262-bbef-5f71eef79036/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c73b0fd0-50b9-4262-bbef-5f71eef79036,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=c73b0fd0-50b9-4262-bbef-5f71eef79036,c73b0fd0-50b9-4262-bbef-5f71eef79036
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, DELAYED RELEASE",ORAL,ANDA,74394,Diclofenac Sodium,DICLOFENAC SODIUM,20161216,Nonsteroidal Anti-inflammatory Drug,,CAMBRIDGE THERAPEUTICS TECHNOLOGIES LLC,1995/11/30-,70882-115,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a5708cc2-d9b6-428c-86df-5dbbd4a6b311/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a5708cc2-d9b6-428c-86df-5dbbd4a6b311,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a5708cc2-d9b6-428c-86df-5dbbd4a6b311,a5708cc2-d9b6-428c-86df-5dbbd4a6b311
HUMAN PRESCRIPTION DRUG LABEL,GEL,TOPICAL,ANDA,208077,DICLOZOR,DICLOFENAC SODIUM,20161004,Nonsteroidal Anti-inflammatory Drug,1988,STERLING KNIGHT PHARMACEUTICALS LLC,2016/10/04-,69336-827,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/3a8ba2a1-95c2-4a1f-bf1b-b92a212ff6a4/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3a8ba2a1-95c2-4a1f-bf1b-b92a212ff6a4,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=3a8ba2a1-95c2-4a1f-bf1b-b92a212ff6a4,3a8ba2a1-95c2-4a1f-bf1b-b92a212ff6a4
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,ANDA,76201,Diclofenac Sodium,DICLOFENAC SODIUM,20160803,Nonsteroidal Anti-inflammatory Drug,,UNIT DOSE SERVICES,2002/11/06-,50436-0676,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d3688090-07ca-4802-a865-60843b0d83ab/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d3688090-07ca-4802-a865-60843b0d83ab,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d3688090-07ca-4802-a865-60843b0d83ab,d3688090-07ca-4802-a865-60843b0d83ab
HUMAN PRESCRIPTION DRUG LABEL,GEL,TOPICAL,ANDA,206298,Diclofenac sodium,DICLOFENAC SODIUM,20160726,Nonsteroidal Anti-inflammatory Drug,,TARO PHARMACEUTICALS U S A INC,2016/04/28-,51672-1363,QTG126297Q,diclofenac sodium,diclofenac,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/aa1e1ed3-0444-4bf5-a0ee-5d21a7fca391/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=aa1e1ed3-0444-4bf5-a0ee-5d21a7fca391,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=aa1e1ed3-0444-4bf5-a0ee-5d21a7fca391,aa1e1ed3-0444-4bf5-a0ee-5d21a7fca391
HUMAN PRESCRIPTION DRUG LABEL,GEL,TOPICAL,ANDA,208301,DICLOFENAC SODIUM,DICLOFENAC SODIUM,20160624,Nonsteroidal Anti-inflammatory Drug,,GLENMARK PHARMACEUTICALS INC USA,2016/09/13-,68462-355,QTG126297Q,diclofenac sodium,diclofenac,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/dab3ae60-0135-43b3-a1d0-8752720af82a/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=dab3ae60-0135-43b3-a1d0-8752720af82a,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=dab3ae60-0135-43b3-a1d0-8752720af82a,dab3ae60-0135-43b3-a1d0-8752720af82a
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION,TOPICAL,ANDA,205878,DICLOFENAC SODIUM,DICLOFENAC SODIUM,20160616,Nonsteroidal Anti-inflammatory Drug,1988,NOVEL LABORATORIES INC,2015/12/09-,40032-016,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c99f5ef6-c777-4896-a5e7-7335257439b2/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c99f5ef6-c777-4896-a5e7-7335257439b2,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=c99f5ef6-c777-4896-a5e7-7335257439b2,c99f5ef6-c777-4896-a5e7-7335257439b2
HUMAN PRESCRIPTION DRUG LABEL,KIT,ORAL; TOPICAL,ANDA,77863,PrevidolRx Plus Analgesic Pak,DICLOFENAC SODIUM,20160607,Nonsteroidal Anti-inflammatory Drug,,GENPAK SOLUTIONS LLC,2015/12/15-,75840-095,QTG126297Q; UW86K581WY,CAPSICUM OLEORESIN; DICLOFENAC SODIUM,CAPSICUM OLEORESIN; DICLOFENAC,144O8QL0L1; UW86K581WY,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a5fedb90-0e52-4926-b05d-e4209810c762/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a5fedb90-0e52-4926-b05d-e4209810c762,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a5fedb90-0e52-4926-b05d-e4209810c762,a5fedb90-0e52-4926-b05d-e4209810c762
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, DELAYED RELEASE",ORAL,ANDA,75281,Diclofenac Sodium,DICLOFENAC SODIUM,20160526,Nonsteroidal Anti-inflammatory Drug,,MYLAN PHARMACEUTICALS INC,completed:2010/05/18-2020/09/30,0378-6280; 0378-6281,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/4b0d7319-a587-4648-bded-5b35b8efa1cb/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4b0d7319-a587-4648-bded-5b35b8efa1cb,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=4b0d7319-a587-4648-bded-5b35b8efa1cb,4b0d7319-a587-4648-bded-5b35b8efa1cb
HUMAN PRESCRIPTION DRUG LABEL,GEL,TOPICAL,ANDA,206298,Diclofenac sodium,DICLOFENAC SODIUM,20160506,Nonsteroidal Anti-inflammatory Drug,,PHARMACEUTICA NORTH AMERICA INC,2016/04/28-,45861-063,QTG126297Q,diclofenac sodium,diclofenac,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/86bf9608-1dd4-4007-98cc-2df5fd4729de/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=86bf9608-1dd4-4007-98cc-2df5fd4729de,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=86bf9608-1dd4-4007-98cc-2df5fd4729de,86bf9608-1dd4-4007-98cc-2df5fd4729de
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION,TOPICAL,ANDA,202027,DICLOFENAC SODIUM,DICLOFENAC SODIUM,20160204,Nonsteroidal Anti-inflammatory Drug,,INTERNATIONAL BRAND MANAGEMENT LLC,2016/02/04-,69837-399,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/aca9ebff-a437-48d9-8baf-06b9021a4740/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=aca9ebff-a437-48d9-8baf-06b9021a4740,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=aca9ebff-a437-48d9-8baf-06b9021a4740,aca9ebff-a437-48d9-8baf-06b9021a4740
HUMAN PRESCRIPTION DRUG LABEL,KIT,ORAL; TOPICAL,ANDA,77863,PrevidolRx Analgesic Pak,DICLOFENAC SODIUM,20160126,Nonsteroidal Anti-inflammatory Drug; Proton Pump Inhibitor,,GENPAK SOLUTIONS LLC,2015/12/15-,75840-094,KG60484QX9; QTG126297Q; UW86K581WY,CAPSICUM OLEORESIN; DICLOFENAC SODIUM; OMEPRAZOLE,CAPSICUM OLEORESIN; DICLOFENAC; OMEPRAZOLE,144O8QL0L1; KG60484QX9; UW86K581WY,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/af65f614-a715-4653-8ce3-7702f46becf8/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=af65f614-a715-4653-8ce3-7702f46becf8,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=af65f614-a715-4653-8ce3-7702f46becf8,af65f614-a715-4653-8ce3-7702f46becf8
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, DELAYED RELEASE",ORAL,ANDA,74514,Diclofenac Sodium,DICLOFENAC SODIUM,20151029,Nonsteroidal Anti-inflammatory Drug,,BLENHEIM PHARMACAL INC,2015/05/18-,10544-923,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/96edaa7d-8c1c-46d1-8e80-b51072e55ed9/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=96edaa7d-8c1c-46d1-8e80-b51072e55ed9,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=96edaa7d-8c1c-46d1-8e80-b51072e55ed9,96edaa7d-8c1c-46d1-8e80-b51072e55ed9
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,ANDA,76201,Diclofenac Sodium,DICLOFENAC SODIUM,20151008,Nonsteroidal Anti-inflammatory Drug,,BLENHEIM PHARMACAL INC,2015/06/02-,10544-928,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/753dd45e-7135-438a-9aa7-990cf5f97c6d/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=753dd45e-7135-438a-9aa7-990cf5f97c6d,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=753dd45e-7135-438a-9aa7-990cf5f97c6d,753dd45e-7135-438a-9aa7-990cf5f97c6d
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, DELAYED RELEASE",ORAL,ANDA,77863,Diclofenac Sodium,DICLOFENAC SODIUM,20150902,Nonsteroidal Anti-inflammatory Drug,,BLENHEIM PHARMACAL INC,2008/08/19-,10544-933,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/1b52cd67-bbc7-251f-e054-00144ff8d46c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1b52cd67-bbc7-251f-e054-00144ff8d46c,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=1b52cd67-bbc7-251f-e054-00144ff8d46c,1b52cd67-bbc7-251f-e054-00144ff8d46c
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, DELAYED RELEASE",ORAL,ANDA,90066,Diclofenac Sodium,DICLOFENAC SODIUM,20150831,Nonsteroidal Anti-inflammatory Drug,,BLENHEIM PHARMACAL INC,2015/07/15-,10544-934,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/1ea0a3ac-88ab-48c1-e054-00144ff8d46c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1ea0a3ac-88ab-48c1-e054-00144ff8d46c,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=1ea0a3ac-88ab-48c1-e054-00144ff8d46c,1ea0a3ac-88ab-48c1-e054-00144ff8d46c
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,ANDA,76201,DICLOFENAC SODIUM,DICLOFENAC SODIUM,20150630,Nonsteroidal Anti-inflammatory Drug,,DIRECT RX,2015/01/01-,61919-468,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/7cf9cdc3-6837-4b64-b967-9d15f3b0bdc4/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7cf9cdc3-6837-4b64-b967-9d15f3b0bdc4,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=7cf9cdc3-6837-4b64-b967-9d15f3b0bdc4,7cf9cdc3-6837-4b64-b967-9d15f3b0bdc4
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, DELAYED RELEASE",ORAL,ANDA,74514,Diclofenac Sodium,DICLOFENAC SODIUM,20150527,Nonsteroidal Anti-inflammatory Drug,,BLENHEIM PHARMACAL INC,2013/03/28-; 2015/05/27-,10544-114; 10544-921,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/17151304-01b7-1bed-e054-00144ff8d46c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=17151304-01b7-1bed-e054-00144ff8d46c,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=17151304-01b7-1bed-e054-00144ff8d46c,17151304-01b7-1bed-e054-00144ff8d46c
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, DELAYED RELEASE",ORAL,ANDA,74514,DICLOFENAC SODIUM DR,DICLOFENAC SODIUM,20150126,Nonsteroidal Anti-inflammatory Drug,,NORTHWIND PHARMACEUTICALS,2015/01/16-,51655-308,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/bfcd5d3b-30f8-4483-89e2-c67b41b22811/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=bfcd5d3b-30f8-4483-89e2-c67b41b22811,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=bfcd5d3b-30f8-4483-89e2-c67b41b22811,bfcd5d3b-30f8-4483-89e2-c67b41b22811
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, DELAYED RELEASE",ORAL,ANDA,77863,Diclofenac Sodium,DICLOFENAC SODIUM,20141112,Nonsteroidal Anti-inflammatory Drug,,PACK PHARMACEUTICALS LLC,2008/08/19-,16571-201,QTG126297Q,Diclofenac Sodium,Diclofenac,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/df63e944-bfb7-453d-bbd8-63f545826784/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=df63e944-bfb7-453d-bbd8-63f545826784,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=df63e944-bfb7-453d-bbd8-63f545826784,df63e944-bfb7-453d-bbd8-63f545826784
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,ANDA,20254,Diclofenac Sodium,DICLOFENAC SODIUM,20140430,Nonsteroidal Anti-inflammatory Drug,,PROFICIENT RX LP,1996/03/08-,63187-041,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d512ea2e-a4b5-4ff9-b972-a9bf86ea9937/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d512ea2e-a4b5-4ff9-b972-a9bf86ea9937,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d512ea2e-a4b5-4ff9-b972-a9bf86ea9937,d512ea2e-a4b5-4ff9-b972-a9bf86ea9937
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, DELAYED RELEASE",ORAL,ANDA,75185,Diclofenac Sodium Delayed Release,DICLOFENAC SODIUM,20131231,Nonsteroidal Anti-inflammatory Drug,,BLENHEIM PHARMACAL INC,2013/11/30-,10544-188,QTG126297Q,Diclofenac Sodium,Diclofenac,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/cc715a60-32e0-4d31-a1df-2a591a56d4e5/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cc715a60-32e0-4d31-a1df-2a591a56d4e5,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=cc715a60-32e0-4d31-a1df-2a591a56d4e5,cc715a60-32e0-4d31-a1df-2a591a56d4e5
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, DELAYED RELEASE",ORAL,ANDA,74514,Diclofenac Sodium,DICLOFENAC SODIUM,20131029,Nonsteroidal Anti-inflammatory Drug,,DISPENSING SOLUTIONS INC,1996/03/26-,66336-238,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/1877c2fb-39f7-45e3-b7f0-eb834ee273e4/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1877c2fb-39f7-45e3-b7f0-eb834ee273e4,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=1877c2fb-39f7-45e3-b7f0-eb834ee273e4,1877c2fb-39f7-45e3-b7f0-eb834ee273e4
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,ANDA,75910,Diclofenac Sodium,DICLOFENAC SODIUM,20130822,Nonsteroidal Anti-inflammatory Drug,,UNIT DOSE SERVICES,2002/01/09-,50436-6925,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/164fc722-1b31-42fc-b0b5-5b7398983151/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=164fc722-1b31-42fc-b0b5-5b7398983151,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=164fc722-1b31-42fc-b0b5-5b7398983151,164fc722-1b31-42fc-b0b5-5b7398983151
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, DELAYED RELEASE",ORAL,ANDA,77863,Diclofenac Sodium,DICLOFENAC SODIUM,20130703,Nonsteroidal Anti-inflammatory Drug,,DISPENSING SOLUTIONS INC,2008/08/19-,66336-463,QTG126297Q,Diclofenac Sodium,Diclofenac,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/f940aa00-2a88-44ce-b36f-fd51552b2c2b/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f940aa00-2a88-44ce-b36f-fd51552b2c2b,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f940aa00-2a88-44ce-b36f-fd51552b2c2b,f940aa00-2a88-44ce-b36f-fd51552b2c2b
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, DELAYED RELEASE",ORAL,ANDA,75185,Diclofenac Sodium Delayed Release,DICLOFENAC SODIUM,20130603,Nonsteroidal Anti-inflammatory Drug,,BLENHEIM PHARMACAL INC,2013/09/30-,10544-189,QTG126297Q,Diclofenac Sodium,Diclofenac,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/770b5db0-3565-409d-a274-caa132fb8d89/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=770b5db0-3565-409d-a274-caa132fb8d89,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=770b5db0-3565-409d-a274-caa132fb8d89,770b5db0-3565-409d-a274-caa132fb8d89
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, DELAYED RELEASE",ORAL,ANDA,74514,diclofenac sodium,DICLOFENAC SODIUM,20130226,Nonsteroidal Anti-inflammatory Drug,,NCS HEALTHCARE OF KY INC DBA VANGARD LABS,1996/03/26-,0615-4506; 0615-4507,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/70c96b78-3702-4216-819f-1071770494bf/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=70c96b78-3702-4216-819f-1071770494bf,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=70c96b78-3702-4216-819f-1071770494bf,70c96b78-3702-4216-819f-1071770494bf
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, DELAYED RELEASE",ORAL,ANDA,74376,Diclofenac Sodium,DICLOFENAC SODIUM,20121107,Nonsteroidal Anti-inflammatory Drug,,CARILION MATERIALS MANAGEMENT,1995/09/28-,68151-2481,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a65aa738-8ce2-4276-8e54-5ecf4f461d3a/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a65aa738-8ce2-4276-8e54-5ecf4f461d3a,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a65aa738-8ce2-4276-8e54-5ecf4f461d3a,a65aa738-8ce2-4276-8e54-5ecf4f461d3a
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, EXTENDED RELEASE",ORAL,ANDA,75910,Diclofenac Sodium Extended-Release,DICLOFENAC SODIUM,20120724,Nonsteroidal Anti-inflammatory Drug,,MEDSOURCE PHARMACEUTICALS,2009/01/05-,45865-364,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d349b4ca-3aec-44a8-a4d5-87be4c822190/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d349b4ca-3aec-44a8-a4d5-87be4c822190,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d349b4ca-3aec-44a8-a4d5-87be4c822190,d349b4ca-3aec-44a8-a4d5-87be4c822190
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, DELAYED RELEASE",ORAL,ANDA,74514,Diclofenac Sodium,DICLOFENAC SODIUM,20120719,Nonsteroidal Anti-inflammatory Drug,,APHENA PHARMA SOLUTIONS TENNESSEE INC,1996/03/26-,67544-840; 67544-899,QTG126297Q,DICLOFENAC SODIUM,DICLOFENAC,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/0055edbf-f1f6-4b50-8e41-202c5a2a7883/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0055edbf-f1f6-4b50-8e41-202c5a2a7883,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=0055edbf-f1f6-4b50-8e41-202c5a2a7883,0055edbf-f1f6-4b50-8e41-202c5a2a7883
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, DELAYED RELEASE",ORAL,ANDA,75185,Diclofenac Sodium,DICLOFENAC SODIUM,20120705,Nonsteroidal Anti-inflammatory Drug,,APHENA PHARMA SOLUTIONS TENNESSEE INC,1998/11/13-,43353-784,QTG126297Q,Diclofenac Sodium,Diclofenac,144O8QL0L1,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/0c4281ab-1cd8-4e45-904c-9b9f5940c3bb/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0c4281ab-1cd8-4e45-904c-9b9f5940c3bb,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=0c4281ab-1cd8-4e45-904c-9b9f5940c3bb,0c4281ab-1cd8-4e45-904c-9b9f5940c3bb
